date,pm25,pm10,no2,so2,co,o3,month,dayofweek,is_winter,pm25_lag1,pm25_lag7,pm25_lag14,pm25_roll3,pm25_roll7,pm25_roll14,pm25_std7,pm10_roll7,no2_roll7,so2_roll7,co_roll7,o3_roll7,pm25_tomorrow,unsafe_tomorrow,isoforest_flag,ocsvm_flag,is_high_pm25
2014-01-28,261.0,220.0,48.0,7.0,24.0,13.0,1,1,1,228.0,230.0,270.0,231.33333333333334,202.85714285714286,260.2142857142857,32.636526425813734,150.0,36.857142857142854,7.857142857142857,22.714285714285715,8.857142857142858,253.0,1,-1,1,0
2014-01-29,253.0,355.0,68.0,9.0,25.0,6.0,1,2,1,261.0,183.0,314.0,247.33333333333334,212.85714285714286,255.85714285714286,36.08059760881886,187.71428571428572,44.0,7.714285714285714,23.142857142857142,9.142857142857142,331.0,1,-1,-1,0
2014-01-30,331.0,364.0,72.0,8.0,22.0,11.0,1,3,1,253.0,165.0,336.0,281.6666666666667,236.57142857142858,255.5,50.89484958505818,224.28571428571428,50.285714285714285,8.0,22.571428571428573,9.857142857142858,352.0,1,-1,-1,1
2014-01-31,352.0,279.0,62.0,8.0,23.0,7.0,1,4,1,331.0,180.0,406.0,312.0,261.14285714285717,251.64285714285714,59.77577148931531,246.0,53.857142857142854,8.142857142857142,22.857142857142858,10.0,299.0,1,-1,-1,1
2014-02-01,299.0,417.0,87.0,17.0,24.0,7.0,2,5,1,352.0,198.0,377.0,327.3333333333333,275.57142857142856,246.07142857142858,53.894517788166844,287.2857142857143,61.42857142857143,9.714285714285714,23.428571428571427,10.142857142857142,490.0,1,-1,-1,0
2014-02-02,490.0,286.0,72.0,19.0,25.0,10.0,2,6,1,299.0,205.0,305.0,380.3333333333333,316.2857142857143,259.2857142857143,88.33971225844438,304.7142857142857,66.57142857142857,11.142857142857142,23.571428571428573,9.571428571428571,291.0,1,-1,-1,1
2014-02-03,291.0,365.0,82.0,16.0,43.0,10.0,2,0,1,490.0,228.0,255.0,360.0,325.2857142857143,261.85714285714283,80.72734828981284,326.57142857142856,70.14285714285714,12.0,26.571428571428573,9.142857142857142,308.0,1,-1,-1,0
2014-02-04,308.0,264.0,69.0,6.0,26.0,7.0,2,1,1,291.0,261.0,230.0,363.0,332.0,267.42857142857144,76.32387132040223,332.85714285714283,73.14285714285714,11.857142857142858,26.857142857142858,8.285714285714286,249.0,1,-1,-1,1
2014-02-05,249.0,175.0,53.0,4.0,19.0,3.0,2,2,1,308.0,253.0,183.0,282.6666666666667,331.42857142857144,272.14285714285717,77.02566053564466,307.14285714285717,71.0,11.142857142857142,26.0,7.857142857142857,235.0,1,-1,-1,0
2014-02-06,235.0,186.0,81.0,7.0,23.0,1.0,2,3,1,249.0,331.0,165.0,264.0,317.7142857142857,277.14285714285717,85.22463314815782,281.7142857142857,72.28571428571429,11.0,26.142857142857142,6.428571428571429,207.0,1,-1,-1,0
2014-02-07,207.0,512.0,37.0,3.0,21.0,3.0,2,4,1,235.0,352.0,180.0,230.33333333333334,297.0,279.07142857142856,92.78828949100556,315.0,68.71428571428571,10.285714285714286,25.857142857142858,5.857142857142857,162.0,1,-1,-1,0
2014-02-08,162.0,667.0,29.0,3.0,23.0,1.0,2,5,1,207.0,299.0,198.0,201.33333333333334,277.42857142857144,276.5,105.82825259645477,350.7142857142857,60.42857142857143,8.285714285714286,25.714285714285715,5.0,173.0,1,-1,-1,0
2014-02-09,173.0,118.0,44.0,3.0,23.0,10.0,2,6,1,162.0,490.0,205.0,180.66666666666666,232.14285714285714,274.2142857142857,55.61902723417752,326.7142857142857,56.42857142857143,6.0,25.428571428571427,5.0,172.0,1,-1,-1,0
